step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,GS_cluster_1828212480_99165374_stopped,GS_cluster_1828212480_99165374_accumulated_waiting_time,GS_cluster_1828212480_99165374_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
115.0,3,21.0,1.75,11.667898502131726,3,56.0,1.815850604485287e-05,3,56.0
120.0,3,36.0,3.0,12.353365787629999,3,71.0,0.23977885517601258,3,71.0
125.0,3,51.0,5.1,8.252412790961795,3,86.0,0.08802126799365956,3,86.0
130.0,4,70.0,7.0,8.30131675208429,4,105.0,0.2709880541984804,4,105.0
135.0,2,10.0,1.1111111111111112,6.010530663026292,2,70.0,0.2793416270750951,2,70.0
140.0,3,23.0,2.3,7.313490266480085,3,23.0,0.12859313978481077,3,23.0
145.0,5,45.0,3.75,6.297519861079302,5,45.0,0.055927011618423894,5,45.0
150.0,7,75.0,5.769230769230769,6.674316119079634,7,75.0,0.0429108131917733,7,75.0
155.0,2,23.0,1.7692307692307692,7.831979470889208,2,40.0,0.33556555835294616,2,40.0
160.0,1,20.0,1.3333333333333333,11.871097750661745,1,18.0,0.6435606936077553,1,18.0
165.0,3,29.0,1.8125,10.94478945581854,3,27.0,0.3599614120810215,3,27.0
170.0,5,51.0,3.0,9.155156620855223,5,49.0,0.1654356203439971,5,49.0
175.0,6,79.0,5.266666666666667,6.754457290739208,5,74.0,0.0,5,74.0
180.0,2,55.0,3.9285714285714284,8.799519225444863,2,70.0,0.3718800848641926,2,70.0
185.0,2,65.0,6.5,8.99323452226953,2,55.0,0.38964692268263007,2,55.0
190.0,0,0.0,0.0,11.090970969492785,0,0.0,0.7047761049606752,0,0.0
195.0,0,0.0,0.0,12.418049649197261,0,0.0,0.7976956825848553,0,0.0
200.0,3,6.0,0.42857142857142855,9.979768670793701,2,3.0,0.20974931277745582,2,3.0
205.0,4,22.0,2.0,7.0795394294942335,3,14.0,0.0012477045432851273,3,14.0
210.0,4,32.0,2.909090909090909,5.936299244389107,3,29.0,0.03561161510318039,3,29.0
215.0,1,17.0,1.5454545454545454,8.996493119321713,1,26.0,0.5256432148083968,1,26.0
220.0,1,22.0,2.0,12.483057112789965,1,22.0,0.6252431420038551,1,22.0
225.0,0,0.0,0.0,10.117145288703389,0,0.0,0.3864396382812135,0,0.0
230.0,3,14.0,1.0,10.52804727273809,3,14.0,0.32252704842622665,3,14.0
235.0,4,34.0,3.7777777777777777,6.360945071459738,4,34.0,0.172885778256814,4,34.0
240.0,2,18.0,1.8,6.547552665289521,2,39.0,0.054171644258704195,2,39.0
245.0,4,28.0,2.1538461538461537,9.018321053277388,3,48.0,0.21160306078877889,3,48.0
250.0,1,3.0,0.21428571428571427,9.587983354356368,1,22.0,0.2875846395657864,1,22.0
255.0,2,5.0,0.38461538461538464,9.475626108784954,2,27.0,0.17203362825716878,2,27.0
260.0,4,21.0,3.0,5.240694170048459,4,43.0,0.0010279272581796759,4,43.0
265.0,4,41.0,4.555555555555555,7.696678824639033,4,63.0,0.2,4,63.0
270.0,1,11.0,1.5714285714285714,5.033183818287772,1,49.0,0.19392765948312596,1,49.0
275.0,3,22.0,2.4444444444444446,7.918583581984446,3,22.0,0.21806918547090856,3,22.0
280.0,4,41.0,4.1,8.282059388863336,4,41.0,0.21154744037956366,4,41.0
285.0,4,61.0,5.083333333333333,7.762221587131061,4,61.0,0.025373505527872414,4,61.0
290.0,2,34.0,2.8333333333333335,7.294582470198281,1,46.0,0.3773708116463969,1,46.0
295.0,3,43.0,3.0714285714285716,10.510870081293119,1,36.0,0.7764526249535045,1,36.0
300.0,2,42.0,3.0,9.283314089332475,1,46.0,0.5468872187655403,1,46.0
305.0,2,51.0,3.642857142857143,9.014927493175046,2,56.0,0.19075282277416755,2,56.0
310.0,4,71.0,5.461538461538462,8.681727319098425,4,76.0,0.18897719825143666,4,76.0
315.0,0,0.0,0.0,11.168468700387246,0,6.0,0.6734816133023741,0,6.0
320.0,1,3.0,0.2727272727272727,11.083661497287634,0,0.0,0.8343135657843771,0,0.0
325.0,1,2.0,0.2,10.901938305038195,1,2.0,0.620604231791712,1,2.0
330.0,2,10.0,1.1111111111111112,9.556282627143213,2,10.0,0.26445890440596603,2,10.0
