step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_2888269153_95968367_stopped,cluster_2888269153_95968367_accumulated_waiting_time,cluster_2888269153_95968367_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
735.0,17,476.0,12.526315789473685,6.59946353998876,12,765.0,0.0,12,765.0
740.0,17,561.0,14.384615384615385,5.91940549942899,12,827.0,0.1533352743141074,12,827.0
745.0,17,487.0,13.162162162162161,5.137288982108836,10,776.0,0.07289735455725423,10,776.0
750.0,14,304.0,8.444444444444445,5.664407769069957,8,559.0,0.1582421089242153,8,559.0
755.0,12,191.0,5.457142857142857,6.313043063852277,10,441.0,0.1427153623082889,10,441.0
760.0,2,15.0,0.40540540540540543,5.871658302911326,2,353.0,0.15809834303956297,2,353.0
765.0,7,29.0,0.7631578947368421,7.697105695838038,5,402.0,0.2832915212459139,5,402.0
770.0,10,45.0,1.2857142857142858,8.389040728604321,10,383.0,0.06824279772091296,10,383.0
775.0,13,106.0,3.4193548387096775,6.318693274202273,13,444.0,0.0668455914432238,13,444.0
780.0,11,117.0,3.774193548387097,6.928471215803016,10,426.0,0.21261498667832876,10,426.0
785.0,5,77.0,2.40625,6.9482645550100335,5,293.0,0.11972375265082545,5,293.0
790.0,8,110.0,3.4375,6.869681746657243,8,326.0,0.25238245151459143,8,326.0
795.0,14,166.0,5.354838709677419,5.017611797372669,12,379.0,0.03274170177899393,12,379.0
800.0,6,54.0,1.588235294117647,7.248836828439782,6,355.0,0.07681192742258175,6,355.0
805.0,7,87.0,2.4166666666666665,9.585822807766501,6,288.0,0.0,6,288.0
810.0,8,122.0,3.4857142857142858,9.727499658687401,6,318.0,0.12958019961356432,6,318.0
815.0,7,84.0,2.5454545454545454,7.591364227964389,4,255.0,0.16455501319743915,4,255.0
820.0,2,18.0,0.5454545454545454,7.870629279278079,1,104.0,0.2318806582836128,1,104.0
825.0,4,16.0,0.5161290322580645,9.337943509522518,3,116.0,0.24705584124785457,3,116.0
830.0,7,45.0,1.6071428571428572,8.252668127610958,6,146.0,0.1345759302233077,6,146.0
835.0,6,57.0,1.78125,8.07913453038147,5,148.0,0.13005763801058212,5,148.0
840.0,7,86.0,2.8666666666666667,8.450762274648202,6,109.0,0.20801652588051714,6,109.0
845.0,7,82.0,2.5625,7.931428127546554,6,99.0,0.09711605392025212,6,99.0
850.0,7,117.0,3.5454545454545454,8.170824227509671,6,127.0,0.2258107765104134,6,127.0
855.0,7,152.0,4.606060606060606,8.326414026449028,6,157.0,0.1329108226751917,6,157.0
860.0,11,199.0,5.852941176470588,9.112234879600877,10,199.0,0.07313311729915539,10,199.0
865.0,13,257.0,6.945945945945946,8.132860091799298,11,251.0,0.24202260463639375,11,251.0
870.0,15,326.0,9.314285714285715,6.399895144006858,13,310.0,0.06033729013093639,13,310.0
875.0,13,308.0,8.8,5.220344818407923,10,313.0,0.05359733550465384,10,313.0
880.0,11,340.0,8.947368421052632,7.019801519737285,10,316.0,0.07531365123476372,10,316.0
885.0,13,399.0,9.975,7.471248471713716,12,363.0,0.13053002177843082,12,363.0
890.0,10,213.0,5.071428571428571,7.86973578971819,8,230.0,0.1992508857138997,8,230.0
895.0,12,197.0,4.377777777777778,8.396752506834238,10,188.0,0.037909660062897005,10,188.0
900.0,12,253.0,5.622222222222222,7.990437625610262,10,235.0,0.11878510313994524,10,235.0
905.0,13,290.0,6.444444444444445,7.480066998812214,13,292.0,0.12985814619067376,13,292.0
910.0,20,370.0,8.80952380952381,5.474657027938848,19,371.0,0.0036193594765823547,19,371.0
915.0,22,476.0,11.069767441860465,5.305215662070728,21,473.0,0.07767444952303781,21,473.0
920.0,9,70.0,1.6666666666666667,5.636293740155618,6,311.0,0.12929795382530176,6,311.0
925.0,12,83.0,1.8863636363636365,7.688368642671736,9,196.0,0.17543939603096234,9,196.0
930.0,15,130.0,2.8260869565217392,6.943963361437722,12,254.0,0.13884871757874037,12,254.0
935.0,15,177.0,3.933333333333333,6.2763049348520745,14,279.0,0.12024204293055028,14,279.0
940.0,19,257.0,5.711111111111111,6.2225717905048565,18,334.0,0.1054382382231089,18,334.0
945.0,20,300.0,7.317073170731708,4.851908256380824,19,410.0,0.10500229111273801,19,410.0
950.0,17,365.0,8.69047619047619,5.462595872710172,16,445.0,0.10684025045666508,16,445.0
955.0,8,127.0,3.0238095238095237,5.929773318701645,8,327.0,0.08083183369158932,8,327.0
960.0,11,162.0,3.857142857142857,8.979707456596737,10,246.0,0.09234100399188999,10,246.0
965.0,3,29.0,0.7435897435897436,10.57644265408578,3,131.0,0.2907582178520615,3,131.0
970.0,6,43.0,1.1025641025641026,9.906131294120504,4,62.0,0.10067894142691448,4,62.0
975.0,7,68.0,1.7894736842105263,8.799413522962745,5,104.0,0.2337983708789766,5,104.0
980.0,9,96.0,2.5945945945945947,8.38153473821805,7,118.0,0.14321089805297654,7,118.0
985.0,13,153.0,3.923076923076923,7.219678728948832,10,166.0,0.10680410598426596,10,166.0
990.0,13,198.0,5.2105263157894735,5.8108252868607755,9,200.0,0.08182158641436374,9,200.0
995.0,14,249.0,6.384615384615385,6.741733374941607,10,245.0,0.10264272931479326,10,245.0
1000.0,13,301.0,7.921052631578948,7.0874763469717195,11,297.0,0.08312667769988072,11,297.0
1005.0,11,312.0,8.210526315789474,6.0553356777864185,11,347.0,0.16428217297862382,11,347.0
1010.0,16,382.0,10.052631578947368,5.927664199720765,12,405.0,0.018726725981152423,12,405.0
1015.0,18,461.0,11.24390243902439,6.107895519139979,14,480.0,0.17366262044377848,14,480.0
1020.0,16,524.0,12.78048780487805,5.395452754863745,14,547.0,0.023253350540547713,14,547.0
1025.0,21,615.0,14.642857142857142,5.60419700547225,17,631.0,0.11051048495625419,17,631.0
1030.0,22,715.0,15.88888888888889,4.51424312809649,17,706.0,0.07364211755574439,17,706.0
1035.0,25,834.0,19.3953488372093,4.494045121658579,18,817.0,0.050165298904696586,18,817.0
1040.0,26,960.0,23.414634146341463,2.790557131819584,18,883.0,0.0019506494968692144,18,883.0
1045.0,30,1104.0,25.674418604651162,4.031830354447378,19,977.0,0.04735271057477296,19,977.0
1050.0,30,1254.0,27.866666666666667,4.5899022832843785,19,1072.0,0.1333045445713834,19,1072.0
1055.0,28,1118.0,24.844444444444445,4.445595987299044,16,1055.0,0.13022434995657453,16,1055.0
1060.0,24,846.0,18.0,4.012456858248678,12,931.0,0.13068726637338438,12,931.0
1065.0,24,781.0,17.355555555555554,2.819606447058821,15,1063.0,0.052636094133098596,15,1063.0
1070.0,30,770.0,16.041666666666668,1.9469155387558696,22,1256.0,0.006953044101358935,22,1256.0
1075.0,25,382.0,7.64,3.5638925357425837,16,1152.0,0.125240194578009,16,1152.0
1080.0,17,186.0,3.576923076923077,4.5370230904011075,13,1000.0,0.15478229363949628,13,1000.0
1085.0,21,284.0,5.3584905660377355,5.521625369128923,14,921.0,0.1092841186572811,14,921.0
1090.0,25,398.0,7.236363636363636,6.318755284055127,14,944.0,0.0,14,944.0
1095.0,25,442.0,8.339622641509434,5.985188523794851,11,890.0,0.06114031724321268,11,890.0
1100.0,22,427.0,7.907407407407407,5.66480592867624,8,705.0,0.1735547364568734,8,705.0
1105.0,18,433.0,8.169811320754716,5.169677429741265,7,788.0,0.08275865551262106,7,788.0
1110.0,18,407.0,8.14,4.653637028742903,11,929.0,0.01332189333185357,11,929.0
1115.0,12,292.0,5.7254901960784315,6.118084740779773,10,929.0,0.1451753569320713,10,929.0
1120.0,10,313.0,5.6909090909090905,6.364823369999863,8,790.0,0.14046349468780253,8,790.0
1125.0,12,355.0,6.574074074074074,7.252442281598177,10,887.0,0.09892528195887673,10,887.0
1130.0,17,429.0,8.411764705882353,6.124758147308327,14,975.0,0.0628872363451568,14,975.0
1135.0,15,481.0,9.075471698113208,5.58329911845828,13,946.0,0.11566031792195261,13,946.0
1140.0,12,494.0,9.5,5.928749330291121,11,896.0,0.1733860748180432,11,896.0
1145.0,14,556.0,10.49056603773585,5.734362323584563,14,930.0,0.07771606540888651,14,930.0
1150.0,16,610.0,10.892857142857142,6.119778187597363,15,1081.0,0.11552630731827611,15,1081.0
1155.0,21,701.0,12.981481481481481,5.977710026409982,20,1171.0,0.08598763048486859,20,1171.0
1160.0,26,816.0,14.836363636363636,5.301300425495482,24,1238.0,0.06910588565767412,24,1238.0
1165.0,29,921.0,16.157894736842106,4.40645214924004,28,1354.0,0.06173087725925366,28,1354.0
1170.0,29,1004.0,17.310344827586206,4.24599525190983,28,1419.0,0.08136021127933774,28,1419.0
1175.0,27,1070.0,18.135593220338983,4.50012302879782,25,1457.0,0.042324866613086556,25,1457.0
