step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,GS_cluster_1828212480_99165374_stopped,GS_cluster_1828212480_99165374_accumulated_waiting_time,GS_cluster_1828212480_99165374_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
155.0,4,81.0,11.571428571428571,7.104580378598976,4,70.0,0.15559102687842885,4,70.0
160.0,5,103.0,17.166666666666668,1.6777741550974328,5,92.0,1.1300978332053145e-06,5,92.0
165.0,5,128.0,18.285714285714285,4.039939269774971,5,117.0,0.1565216394839641,5,117.0
170.0,5,153.0,25.5,2.486532367095155,5,135.0,0.16307200488502377,5,135.0
175.0,5,178.0,29.666666666666668,1.448774275231499,5,160.0,0.0,5,160.0
180.0,4,171.0,28.5,3.4583403797362067,4,153.0,0.12497972352038249,4,153.0
185.0,4,191.0,23.875,7.096675638363496,4,173.0,0.1887165628690864,4,173.0
190.0,4,211.0,23.444444444444443,7.719244542210906,4,193.0,0.0,4,193.0
195.0,4,231.0,23.1,7.688197350264295,4,213.0,0.0,4,213.0
200.0,4,251.0,27.88888888888889,7.647892196532071,4,233.0,0.15294939826761883,4,233.0
205.0,5,272.0,38.857142857142854,4.856132507054343,5,254.0,0.0009551864558728078,5,254.0
210.0,5,297.0,42.42857142857143,4.274093716027927,5,279.0,2.2770676654430076e-06,5,279.0
215.0,5,322.0,53.666666666666664,2.1744294762364116,5,304.0,0.0,5,304.0
220.0,1,16.0,2.6666666666666665,4.558487931355075,1,88.0,0.07100053568113422,1,88.0
225.0,1,21.0,3.0,12.43320266484339,1,21.0,0.0,1,21.0
230.0,1,26.0,4.333333333333333,15.172057880418079,1,26.0,0.4599457165216276,1,26.0
235.0,1,31.0,6.2,6.429408101328471,1,31.0,0.00452035098158695,1,31.0
240.0,1,36.0,7.2,9.154573889711056,1,36.0,0.4732799032395055,1,36.0
245.0,1,41.0,8.2,11.036097231197601,1,41.0,0.027411138437673205,1,41.0
250.0,1,46.0,11.5,10.20232629361692,1,46.0,0.4840585848265325,1,46.0
255.0,1,51.0,12.75,8.488104508358926,1,51.0,0.03652598960089723,1,51.0
260.0,2,60.0,12.0,10.403813277767343,2,60.0,4.415947308064161e-06,2,60.0
265.0,2,70.0,14.0,7.077059090547786,2,66.0,0.3206558118232684,2,66.0
270.0,2,80.0,16.0,6.023565275368014,2,71.0,0.0,2,71.0
275.0,2,90.0,18.0,5.955980255328886,2,81.0,0.23908932324941448,2,81.0
280.0,2,100.0,16.666666666666668,9.046714946820815,2,86.0,0.3277859483230426,2,86.0
285.0,3,111.0,15.857142857142858,7.33473694997341,3,97.0,0.1973167190094774,3,97.0
290.0,4,127.0,18.142857142857142,4.385585919356108,4,108.0,0.07206722498224143,4,108.0
295.0,2,45.0,5.625,8.912785265495149,2,26.0,0.31163877943833945,2,26.0
300.0,2,55.0,9.166666666666666,10.476306474995438,2,36.0,0.480449508001071,2,36.0
305.0,1,49.0,7.0,13.61438372149125,1,30.0,0.4836921265553191,1,30.0
310.0,1,54.0,6.75,11.950393374557578,1,35.0,0.3255987915922467,1,35.0
315.0,2,64.0,8.0,10.8320663106601,2,45.0,0.41477778396466153,2,45.0
320.0,3,75.0,9.375,4.4918594227130315,3,56.0,0.013085219181071282,3,56.0
325.0,5,98.0,10.88888888888889,6.483262632848167,5,79.0,0.2746678098099304,5,79.0
330.0,4,115.0,12.777777777777779,5.592434230660861,4,96.0,0.2028722102087077,4,96.0
335.0,4,112.0,11.2,6.4658866243920965,4,95.0,0.022892680850461415,4,95.0
340.0,1,1.0,0.09090909090909091,9.769505644305495,0,5.0,0.3999410791998992,0,5.0
